InChIKey,Kingdom,SuperClass,Class,SubClass,Level5,Level6,Level7
NGQYUDIZIPNWJV-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
CFFZDZCDUFSOFZ-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols,NA,NA
RVIUQHYENGKVCZ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
KAIXMDKRVHGWDK-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
SOKKQMPCIJPSGH-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
ZQTJTTSZJNFQGJ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
NMHMNPHRMNGLLB-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
WALCYTHTBOWOFF-PDWCTOEPSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,NA
YKAVCSNFDHAGEG-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
KRZBCHWVBQOTNZ-RDJMKVHDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
UYEMGAFJOZZIFP-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
LEONNYUSLXUBTI-CDHFTJPESA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
NDZHPENMJGDGPX-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
HMLZLHKHNBLLJD-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
CWVRJTMFETXNAD-JUHZACGLSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
WMCQWXZMVIETAO-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Heterocyclic fatty acids,Furanoid fatty acids,NA
RAGZUCNPTLULOL-KQJPBSFVSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
IAVREABSGIHHMO-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Aryl-aldehydes,Benzaldehydes
IJFXRHURBJZNAO-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
ZXNABXFYKZWAPQ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
MZYPOJMKJHCOQG-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
XDOFWFNMYJRHEW-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
FVMDYYGIDFPZAX-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,NA,NA,NA
UJBQYMIQTYWRFA-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
