InChIKey,Kingdom,SuperClass,Class,SubClass,Level5,Level6,Level7
ADVGKWPZRIDURE-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Acetanilides,NA,NA
JCVGTUVGDOWZJE-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
LKRAEHUDIUJBSF-ZETCQYMHSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
RYGLCORNOFFGTB-YFKPBYRVSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
FTVWIRXFELQLPI-ZDUSSCGKSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavanones,NA,NA
DFIUUCDSSKATFP-DNPGXZAYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
LQAWJBRSYCPTLK-ZDUSSCGKSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavanones,NA,NA
ZTQGTBHHQGGBSV-ATVZYYHQSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
BDCRTIDKZGEVEN-DNPGXZAYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
LCXKYLMSILXZFG-ZDUSSCGKSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavanones,NA,NA
PQBAWAQIRZIWIV-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Methylpyridines,N-methylpyridinium compounds,NA,NA
PMOWTIHVNWZYFI-AATRIKPKSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
BTRJLVGUHCECAH-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Coumaric acids,NA
MIJYXULNPSFWEK-GTOFXWBISA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,NA,NA,NA
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
RFWGABANNQMHMZ-ZCHJGGQASA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,NA,NA,NA
QUNWUDVFRNGTCO-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
NGSWKAQJJWESNS-ZZXKWVIFSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
SOKJXEKPKWKYKR-KPGYTNHDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
OYDCCWNLILCHDJ-ZZXKWVIFSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,NA,NA,NA
IWDCLRJOBJJRNH-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Cresols,Para cresols,NA,NA
JPAUCQAJHLSMQW-XPORZQOISA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
WGNAKZGUSRVWRH-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
ABVCUBUIXWJYSE-GQUPQBGVSA-O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
WQEPLUUGTLDZJY-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
ZZWPMFROUHHAKY-OUUKCGNVSA-O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
HBKZHMZCXXQMOX-YATQZQGFSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
JFLIEFSWGNOPJJ-JTQLQIEISA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
UTYVDVLMYQPLQB-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
VOXXWSYKYCBWHO-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
VGEREEWJJVICBM-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,2'-Hydroxy-dihydrochalcones,NA,NA
YFJJAJIWPWXWJJ-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,NA,NA
JVGVDSSUAVXRDY-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
SSZYARBRHYOZQM-OWOJBTEDSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
WYPZTOJGOQAJJD-CUYWLFDKSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
PHLZFRGLHZUWLW-OWOJBTEDSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
OPXYKICHKIQGOV-CUYWLFDKSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
XFZJEEAOWLFHDH-NFJBMHMQSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Biflavonoids and polyflavonoids,NA,NA,NA
CMUNUTVVOOHQPW-LURJTMIESA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Proline and derivatives
WQGWDDDVZFFDIG-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenetriols and derivatives,Pyrogallols and derivatives,5-unsubstituted pyrrogallols,NA
QCVMOWDDTCUWLI-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
NGVLEQPKHLWZLN-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
SOHXEAWMMVSJFL-COGRHJPHSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
XADBYTWTQXSBAF-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
REFJWTPEDVJJIY-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
DUBCCGAQYVUYEU-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-3-O-glucuronides
LBJLXDMWOKJIPQ-JENRNSKYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
OSCLBBUATYLBQA-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
SKCKOFZKJLZSFA-BXKVDMCESA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,NA
CVHZOJJKTDOEJC-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Benzothiazoles,NA,NA,NA,NA
ZFAHNWWNDFHPOH-YFKPBYRVSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Cysteine and derivatives
LKRAEHUDIUJBSF-SSDOTTSWSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
PCMORTLOPMLEFB-ONEGZZNKSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
SVMPWPWAQOHKHG-UOZBHZCFSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
KJWQVTFGBFEXMV-ONEGZZNKSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,NA,NA
IDIDJDIHTAOVLG-VKHMYHEASA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Cysteine and derivatives
JVKYZPBMZPJNAJ-OQFNDJACSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,Solanidines and derivatives,NA,NA
BAQAVOSOZGMPRM-QBMZZYIRSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,NA
CZMRCDWAGMRECN-UGDNZRGBSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
SUVMJBTUFCVSAD-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfoxides,NA,NA,NA,NA
PUPMSTCTVNEOCX-ISJKBYAMSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Cysteine and derivatives
ROARKYNVUQLTDP-QGQIPBJJSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Oligopeptides,NA
IIHBKTCHILXGOT-KMYGYIBBSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
JMSVCTWVEWCHDZ-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
WOGNQDHJFYPQMD-YGMDGNCASA-N,Organic compounds,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
RUXRRHGJTRVOSL-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
FEWJPZIEWOKRBE-JCYAYHJZSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,NA,NA
XOAAWQZATWQOTB-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,NA,NA
MKTFRRIBCBTOKJ-CRFHJIRQSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,NA,NA
YAPQBXQYLJRXSA-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
XYNPYHXGMWJBLV-VXPJTDKGSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,Spirosolanes and derivatives,NA,NA
HSTZMXCBWJGKHG-CUYWLFDKSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
QWSAYEBSTMCFKY-OTPOQTMVSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
DULQFFCIVGYOFH-OWOJBTEDSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
CDEBVTGYVFHDMA-OTPOQTMVSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
KOTTWDFKZULRPN-OWOJBTEDSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
WWNNZCOKKKDOPX-UHFFFAOYSA-N,Organic compounds,Alkaloids and derivatives,NA,NA,NA,NA,NA
UYPYRKYUKCHHIB-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Aminoxides,Trialkyl amine oxides,NA,NA
YCCILVSKPBXVIP-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Tyrosols and derivatives,Tyrosols,NA,NA
HEIHXCBRTPYOMU-BYNIDDHOSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
VCRXMIQBQGCAAL-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
PRYLPCLGPXGILY-DKBOKBLXSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Coumarin glycosides,NA,NA,NA
LJOOSFYJELZGMR-UHFFFAOYSA-M,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
RIUPLDUFZCXCHM-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
KXBXNRJGUDTJQS-KSPMYQCISA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
QMPHAAMUHRNZSL-KSPMYQCISA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
WXUQMTRHPNOXBV-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
MHBWCULXQBVPQT-KSPMYQCISA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
LRRVKQQFGIEMSA-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
HHXMEXZVPJFAIJ-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
WKOLLVMJNQIZCI-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,M-methoxybenzoic acids and derivatives,NA
TXRKUXPAEPOCIX-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,M-methoxybenzoic acids and derivatives,NA
MWOOGOJBHIARFG-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
OUIKMDRGUNIXSP-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
LOODYTDRRBLQNH-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
JKQXZKUSFCKOGQ-QAYBQHTQSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Xanthophylls,NA
ANVAOWXLWRTKGA-NTXLUARGSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Carotenes,NA
TYNQWWGVEGFKRU-AJDPQWBVSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,Steroidal saponins,NA,NA
DTOSIQBPPRVQHS-PDBXOOCHSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA
ZGVSETXHNHBTRK-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,Steroidal saponins,NA,NA
UCMIRNVEIXFBKS-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Beta amino acids and derivatives,NA
OENHQHLEOONYIE-JLTXGRSLSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Carotenes,NA
DMASLKHVQRHNES-FKKUPVFPSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Xanthophylls,NA
QKRQBODPNMXFLS-QMMMGPOBSA-N,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,NA,NA
KTDWBJGUMIZRHU-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols,NA,NA
QHXNJIMVPAFCPR-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
MFFCZSWTQMCKFP-OWOJBTEDSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
RJGLFRQXIDISBX-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
CJKONRHMUGBAQI-YFKPBYRVSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alanine and derivatives
XTFQIRIHLGODFV-NSHDSACASA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives
XULZWQRXYTVUTE-ZETCQYMHSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids
IMQLKJBTEOYOSI-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Inositol phosphates
RLCKHJSFHOZMDR-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Acyclic diterpenoids,NA,NA
ZQPPMHVWECSIRJ-MDZDMXLPSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
UWHZIFQPPBDJPM-BQYQJAHWSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
JBYXPOFIGCOSSB-GOJKSUSPSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA
ONJSZLXSECQROL-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
PMMYEEVYMWASQN-DMTCNVIQSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Proline and derivatives
