Entity;Type;Superclass(es);BiomarkerOf;HasBiomarker;Contains;IsIngredientOf;FOBI_040232;FOBI_040233;FOBI_040235;FOBI_040236;FOBI_040237;FOBI_040238;FOBI_043480;IAO_0000118;FOBI_050000;FOBI_050001;FOBI_050002;FOBI_050003;dcterms:license;has_obo_format_version;id;rdfs:comment;label;
catechol;Class;Catechols;"''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''red wine''	''legume food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''";;;;"'11181185 | 11316606 | 13623450 | 13837760 | 14453269'";"'HMDB00957'";"'C00090 | C01785 | C15571'";"'289'";"'YCIMNLLNPGFGHC-UHFFFAOYSA-N'";"'InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H'";"'FOBI:030444'";;;;;;;;"'CHEBI:18135'";;;
anserine;Class;'Hybrid peptides';"'fish'	''Lean meat''";;;;;"'HMDB00194'";"'C01262'";"'112072 | 6992114'";"'MYYIAHXIVFADCU-QMMMGPOBSA-N'";"'InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1'";"'FOBI:030688'";;;;;;;;"'CHEBI:18323'";;;
vanillin;Class;Methoxyphenols;"''olive oil''	''plant fruit food product''	''legume food product''	''Whole grain cereal products''	''red wine''	''vegetable food product''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;;;"'13860434'";"'HMDB12308'";"'C00755 | D00091'";"'1183'";"'MWOOGOJBHIARFG-UHFFFAOYSA-N'";"'InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3'";"'FOBI:030457'";;;;;;;;"'CHEBI:18346'";;;
apigenin;Class;Flavones;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''	''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;;;"'4444100'";"'HMDB02124'";"'C01477'";"'5280443'";"'KZNIFHPLKGYRTM-UHFFFAOYSA-N'";"'InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H'";"'FOBI:030553'";;;;;;;;"'CHEBI:18388'";;;
'2-(4-hydroxyphenyl)ethanol';Class;Tyrosols;"''olive oil''";;;;;"'HMDB04284'";"'C06044'";"'10393'";"'YCCILVSKPBXVIP-UHFFFAOYSA-N'";"'InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2'";"'FOBI:030579'";"'tyrosol'";;;;;;;"'CHEBI:1879'";;;
'4-methylumbelliferone beta-D-glucuronide';Class;'Coumarin glycosides';"''vegetable food product''	''plant fruit food product''";;;;"'82667'";;"'C11584'";"'91553'";"'ARQXEQLMMNGFDU-JHZZJYKESA-N'";"'InChI=1S/C16H16O9/c1-6-4-10(17)24-9-5-7(2-3-8(6)9)23-16-13(20)11(18)12(19)14(25-16)15(21)22/h2-5,11-14,16,18-20H,1H3,(H,21,22)/t11-,12-,13+,14-,16+/m0/s1'";"'FOBI:030528'";"'4-methylumbelliferone glucuronide'";;;;;;;"'CHEBI:1904'";;;
'4-methylumbelliferone sulfate';Class;'Coumarins and derivatives';"''vegetable food product''	''plant fruit food product''";;;;"'76536'";;"'C11585'";"'84843'";"'FUYLLJCBCKRIAL-UHFFFAOYSA-N'";"'InChI=1S/C10H8O6S/c1-6-4-10(11)15-9-5-7(2-3-8(6)9)16-17(12,13)14/h2-5H,1H3,(H,12,13,14)'";"'FOBI:030529'";;;;;;;;"'CHEBI:1905'";;;
cardol;Class;Resorcinols;"''Whole grain cereal products''";;;;"'69081'";;"'C10809'";"'76617'";"'KVVSCMOUFCNCGX-UHFFFAOYSA-N'";"'InChI=1S/C21H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-16-20(22)18-21(23)17-19/h16-18,22-23H,2-15H2,1H3'";"'FOBI:030718'";"'5-n-pentadecylresorcinol'";;;;;;;"'CHEBI:2120'";;;
1,7-dimethylxanthine;Class;Xanthines;"''tea based beverage product''	''coffee based beverage product''	''cacao food product''";;;;;"'HMDB01860'";"'C13747'";"'4687'";"'QUNWUDVFRNGTCO-UHFFFAOYSA-N'";"'InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)'";"'FOBI:030655'";"'paraxanthine'";;;;;;;"'CHEBI:25858'";;;
'3-phenyllactic acid';Class;'Phenylpropanoic acids';"''nut (whole or part)''	''soybean (whole)''	''Whole grain cereal products''	''dairy food product''	''meat food product''	''legume food product''	''egg food product''";;;;;"'HMDB00779'";;"'3848'";"'VOXXWSYKYCBWHO-UHFFFAOYSA-N'";"'InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)'";"'FOBI:030693'";"'phenyllactic acid'";;;;;;;"'CHEBI:25998'";;;
'alpha-linolenic acid';Class;'Lineolic acids and derivatives';"''nut (whole or part)''";;;;"'4444437'";"'HMDB01388'";"'C06427'";"'5280934'";"'DTOSIQBPPRVQHS-PDBXOOCHSA-N'";"'InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-'";"'FOBI:030740'";"'α-linolenic acid'";;;;;;;"'CHEBI:27432'";;;
phenylacetylglycine;Class;'N-acyl-alpha amino acids and derivatives';"''Whole grain cereal products''	''meat food product''	''dairy food product''	''legume food product''	''egg food product''	''nut (whole or part)''	''soybean (whole)''";;;;"'61452'";"'HMDB00821'";"'C05598'";"'68144'";"'UTYVDVLMYQPLQB-UHFFFAOYSA-N'";"'InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)'";"'FOBI:030695'";;;;;;;;"'CHEBI:27480'";;;
zeaxanthin;Class;Xanthophylls;"''vegetable food product''	''plant fruit food product''";;;;"'4444421'";"'HMDB02789'";"'C06098'";"'5280899'";"'JKQXZKUSFCKOGQ-QAYBQHTQSA-N'";"'InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-24,35-36,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35-,36-/m1/s1'";"'FOBI:030750'";;;;;;;;"'CHEBI:27547'";;;
'N(pros)-methyl-L-histidine';Class;'Histidine and derivatives';"'fish'	''Lean meat''";;;;"'58494'";"'HMDB00479'";"'C01152'";"'64969 | 6971061'";"'JDHILDINMRGULE-LURJTMIESA-N'";"'InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1'";"'FOBI:030690'";"'3-methylhistidine'";;;;;;;"'CHEBI:27596'";;;
caffeine;Class;Xanthines;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;;"'HMDB01847'";"'C07481 | D00528'";"'2519'";"'RYYVLZVUVIJVGH-UHFFFAOYSA-N'";"'InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3'";"'FOBI:030658'";;;;;;;;"'CHEBI:27732'";;;
'isoferulic acid';Class;'Hydroxycinnamic acids';"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''legume food product''	''vegetable food product''	''Whole grain cereal products''	''olive oil''	''plant fruit food product''	''red wine''	''nut (whole or part)''";;;;"'643318'";"'HMDB00955'";"'C10470'";"'736186'";"'QURCVMIEKCOAJU-HWKANZROSA-N'";"'InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+'";"'FOBI:030407'";;;;;;;;"'CHEBI:27794'";;;
'(5-hydroxyindol-3-yl)acetic acid';Class;'Indole-3-acetic acid derivatives';"''dairy food product''	''meat food product''	''legume food product''	''egg food product''	''soybean (whole)''	''nut (whole or part)''	''Whole grain cereal products''";;;;;"'HMDB00763'";"'C05635'";"'1826'";"'DUUGKQCEGZLZNO-UHFFFAOYSA-N'";"'InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)'";"'FOBI:030705'";"'5-hydroxyindole-3-acetic acid'";;;;;;;"'CHEBI:27823'";;;
CHEBI_27881;Class;Stilbenes;"''grape (whole, raw)''	''red wine''";;;;"'392875'";"'HMDB03747'";"'C03582'";"'445154'";"'LUKBXSAWLPMMSZ-OWOJBTEDSA-N'";"'InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+'";"'FOBI:030590'";"'trans-resveratrol'";;;;;;;"'CHEBI:27881'";;;
'elaidic acid';Class;'Long-chain fatty acids';"''Red meat''	''dairy food product''";;;;"'14881358 | 553123'";;"'C01712'";"'637517'";"'ZQPPMHVWECSIRJ-MDZDMXLPSA-N'";"'InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9+'";"'FOBI:08824'";;;;;;;;"'CHEBI:27997'";;;
genistein;Class;Isoflavones;"''legume food product''	''soybean (whole)''";;;;"'4444448'";"'HMDB03217'";"'C06563'";"'5280961'";"'TZBJGXHYKVUXJN-UHFFFAOYSA-N'";"'InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H'";"'FOBI:030537'";;;;;;;;"'CHEBI:28088'";;;
'all-cis-docosa-4,7,10,13,16,19-hexaenoic acid';Class;'Very long-chain fatty acids';"'fish'";;;;;"'HMDB02183'";"'C06429'";"'445580'";"'MBMBGCFOFBJSGT-KUBAVDMBSA-N'";"'InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-'";"'FOBI:030743'";"'docosahexaenoic acid'";;;;;;;"'CHEBI:28125'";;;
theophylline;Class;Xanthines;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;;"'HMDB01889'";"'C07130 | D00371'";"'2153'";"'ZFXYFBGIUFBOJW-UHFFFAOYSA-N'";"'InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)'";"'FOBI:030656'";;;;;;;;"'CHEBI:28177'";;;
daidzein;Class;Isoflavones;"''soybean (whole)''	''legume food product''";;;;"'4445025'";"'HMDB03312'";"'C10208'";"'5281708'";"'ZQSIJRDFPHDXIC-UHFFFAOYSA-N'";"'InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H'";"'FOBI:030530'";;;;;;;;"'CHEBI:28197'";;;
'all-cis-5,8,11,14,17-icosapentaenoic acid';Class;'Long-chain fatty acids';"'fish'";;;;;"'HMDB01999'";"'C06428 | D08061'";"'446284'";"'JAZBEHYOTPTENJ-JLNKQSITSA-N'";"'InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-'";"'FOBI:030742'";"'eicosapentaenoic acid'";;;;;;;"'CHEBI:28364'";;;
solanidine;Class;'Solanidines and derivatives';"''potato (whole, raw)''";;;;"'59150'";"'HMDB03236'";"'C06543'";"'65727'";"'JVKYZPBMZPJNAJ-OQFNDJACSA-N'";"'InChI=1S/C27H43NO/c1-16-5-8-23-17(2)25-24(28(23)15-16)14-22-20-7-6-18-13-19(29)9-11-26(18,3)21(20)10-12-27(22,25)4/h6,16-17,19-25,29H,5,7-15H2,1-4H3/t16-,17+,19-,20+,21-,22-,23+,24-,25-,26-,27-/m0/s1'";"'FOBI:030716'";;;;;;;;"'CHEBI:28374'";;;
'(2-hydroxyphenyl)acetic acid';Class;'2(hydroxyphenyl)acetic acids';"''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;;;"'14600741'";"'HMDB00669'";"'C05852'";"'11970'";"'CCVYRRGZDBSHFU-UHFFFAOYSA-N'";"'InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)'";"'FOBI:030368'";"'2-hydroxyphenylacetic acid'";;;;;;;"'CHEBI:28478'";;;
kaempferol;Class;Flavonols;"''vegetable food product''	''red wine''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''cacao food product''	''olive oil''	''tea based beverage product''	''coffee based beverage product''	''legume food product''";;;;"'4444395'";"'HMDB05801'";"'C05903'";"'5280863'";"'IYRMWMYZSQPJKC-UHFFFAOYSA-N'";"'InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H'";"'FOBI:030565'";;;;;;;;"'CHEBI:28499'";;;
guaiacol;Class;Methoxyphenols;"''coffee based beverage product''	''vegetable food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''red wine''	''tea based beverage product''	''olive oil''	''cacao food product''	''Whole grain cereal products''";;;;"'10658433 | 11337764 | 13834869 | 14859414 | 447'";"'HMDB01398'";"'C01502 | C15572 | D00117'";"'460'";"'LHGVFZTZFXWLCP-UHFFFAOYSA-N'";"'InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3'";"'FOBI:030452'";;;;;;;;"'CHEBI:28591'";;;
'3-O-methylgallic acid';Class;'Gallic acid and derivatives';"''coffee based beverage product''	''olive oil''	''red wine''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''vegetable food product''";;;;;;"'C05616'";"'19829'";"'KWCCUYSXAYTNKA-UHFFFAOYSA-N'";"'InChI=1S/C8H8O5/c1-13-6-3-4(8(11)12)2-5(9)7(6)10/h2-3,9-10H,1H3,(H,11,12)'";"'FOBI:030358'";"'3-methylgallic acid'";;;;;;;"'CHEBI:28647'";;;
fructose;Class;'C-glycosyl compounds';"'sugar'	''plant fruit food product''	''soft drink''";;;;"'388775'";"'HMDB00660'";"'C02336'";"'439709'";"'RFSUNEUAIZKAJO-ARQDHWQXSA-N'";"'InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1'";"'FOBI:030759'";;;;;;;;"'CHEBI:28757'";;;
theobromine;Class;Xanthines;"''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;;;"'11181178'";"'HMDB02825'";"'C07480'";"'5429'";"'YAPQBXQYLJRXSA-UHFFFAOYSA-N'";"'InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)'";"'FOBI:030657'";;;;;;;;"'CHEBI:28946'";;;
'4-hydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''nut (whole or part)''	''vegetable food product''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;;;"'10732368 | 132 | 15957696'";"'HMDB00500'";"'C00156'";"'135 | 3702506'";"'FJKROLUGYXJWQN-UHFFFAOYSA-N'";"'InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)'";"'FOBI:030320'";;;;;;;;"'CHEBI:30763'";;;
'3-hydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''red wine''	''legume food product''";;;;"'16308565'";"'HMDB02466'";"'C00587'";"'7420'";"'IJFXRHURBJZNAO-UHFFFAOYSA-N'";"'InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)'";"'FOBI:030319'";;;;;;;;"'CHEBI:30764'";;;
'citric acid';Class;'Tricarboxylic acids and derivatives';"''vegetable food product''	''plant fruit food product''";;;;"'305'";"'HMDB00094'";"'C00158 | D00037'";"'19782904 | 311 | 88113319'";"'KRKNYBCHXYNGOX-UHFFFAOYSA-N'";"'InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)'";"'FOBI:030631'";;;;;;;;"'CHEBI:30769'";;;
'gallic acid';Class;'Gallic acids';"''plant fruit food product''	''legume food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''olive oil''";;;;"'361'";"'HMDB05807'";"'C01424'";"'370'";"'LNTHITQWFMADLM-UHFFFAOYSA-N'";"'InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)'";"'FOBI:030352'";;;;;;;;"'CHEBI:30778'";;;
'vanillic acid';Class;'M-methoxybenzoic acids and derivatives';"''Whole grain cereal products''	''red wine''	''vegetable food product''	''tea based beverage product''	''coffee based beverage product''	''legume food product''	''nut (whole or part)''	''cacao food product''	''olive oil''	''plant fruit food product''";;;;"'15694084'";"'HMDB00484'";"'C06672'";"'8468'";"'WKOLLVMJNQIZCI-UHFFFAOYSA-N'";"'InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)'";"'FOBI:030343'";;;;;;;;"'CHEBI:30816'";;;
'delphinidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"''red wine''	''berry (whole, raw)''";;;;"'391783'";;"'C12138'";"'443650'";"'XENHPQQLDPAYIJ-PEVLUNPASA-O'";"'InChI=1S/C21H20O12/c22-6-15-17(28)18(29)19(30)21(33-15)32-14-5-9-10(24)3-8(23)4-13(9)31-20(14)7-1-11(25)16(27)12(26)2-7/h1-5,15,17-19,21-22,28-30H,6H2,(H4-,23,24,25,26,27)/p+1/t15-,17-,18+,19-,21-/m1/s1'";"'FOBI:030634'";"'delphinidin 3-glucoside'";;;;;;;"'CHEBI:31463'";;;
'malvidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"''red wine''	''berry (whole, raw)''";;;;"'391785'";;"'C12140'";"'443652'";"'PXUQTDZNOHRWLI-OXUVVOBNSA-O'";"'InChI=1S/C23H24O12/c1-31-14-3-9(4-15(32-2)18(14)27)22-16(7-11-12(26)5-10(25)6-13(11)33-22)34-23-21(30)20(29)19(28)17(8-24)35-23/h3-7,17,19-21,23-24,28-30H,8H2,1-2H3,(H2-,25,26,27)/p+1/t17-,19-,20+,21-,23-/m1/s1'";"'FOBI:030635'";"'malvidin 3-glucoside'";;;;;;;"'CHEBI:31799'";;;
'pelargonidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"''berry (whole, raw)''	''red wine''";;;;"'391782'";;"'C12137'";"'443648'";"'ABVCUBUIXWJYSE-GQUPQBGVSA-O'";"'InChI=1S/C21H20O10/c22-8-16-17(26)18(27)19(28)21(31-16)30-15-7-12-13(25)5-11(24)6-14(12)29-20(15)9-1-3-10(23)4-2-9/h1-7,16-19,21-22,26-28H,8H2,(H2-,23,24,25)/p+1/t16-,17-,18+,19-,21-/m1/s1'";"'FOBI:030636'";"'pelargonidin 3-glucoside'";;;;;;;"'CHEBI:31967'";;;
saccharin;Class;Benzothiazoles;"''soft drink (dietetic)''";;;;"'10685695'";;"'C12283'";"'5143'";"'CVHZOJJKTDOEJC-UHFFFAOYSA-N'";"'InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)'";"'FOBI:030626'";;;;;;;;"'CHEBI:32111'";;;
sucralose;Class;'C-glycosyl compounds';"''soft drink (dietetic)''";;;;"'64561'";;"'C12285'";"'71485'";"'BAQAVOSOZGMPRM-QBMZZYIRSA-N'";"'InChI=1S/C12H19Cl3O8/c13-1-4-7(17)10(20)12(3-14,22-4)23-11-9(19)8(18)6(15)5(2-16)21-11/h4-11,16-20H,1-3H2/t4-,5-,6+,7-,8+,9-,10+,11-,12+/m1/s1'";"'FOBI:030627'";;;;;;;;"'CHEBI:32159'";;;
'trans-3-coumaric acid';Class;'Hydroxycinnamic acids';"''red wine''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''olive oil''	''legume food product''";;;;"'553147'";"'HMDB01713'";"'C12621'";"'637541'";"'KKSDGJDHHZEWEP-SNAWJCMRSA-N'";"'InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+'";"'FOBI:030384'";"'m-coumaric acid'";;;;;;;"'CHEBI:32357'";;;
'heptadecanoic acid';Class;'Long-chain fatty acids';"''dairy food product''";;;;;"'HMDB02259'";;"'10465'";"'KEMQGTRYUADPNZ-UHFFFAOYSA-N'";"'InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)'";"'FOBI:030739'";;;;;;;;"'CHEBI:32365'";;;
'trans-4-coumaric acid';Class;'Hydroxycinnamic acids';"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;;;"'553148'";"'HMDB02035'";"'C00811'";"'637542'";"'NGSWKAQJJWESNS-ZZXKWVIFSA-N'";"'InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+'";"'FOBI:030385'";"'p-coumaric acid'";;;;;;;"'CHEBI:32374'";;;
5-acetamido-6-formamido-3-methyluracil;Class;Hydroxypyrimidines;"''cacao food product''	''coffee based beverage product''	''tea based beverage product''";;;;"'97287'";"'HMDB11105'";"'C16365'";"'108214'";"'RDZNZFGKEVDNPK-UHFFFAOYSA-N'";"'InChI=1S/C8H10N4O4/c1-4(14)10-5-6(9-3-13)11-8(16)12(2)7(5)15/h3H,1-2H3,(H,9,13)(H,10,14)(H,11,16)'";"'FOBI:030667'";"'5-acetylamino-6-formylamino-3-methyluracil'";;;;;;;"'CHEBI:32643'";;;
'9-cis,11-trans-octadecadienoic acid';Class;'Lineolic acids and derivatives';"''dairy food product''	''Red meat''";;;;"'4444245'";"'HMDB03797'";"'C04056'";"'5280644'";"'JBYXPOFIGCOSSB-GOJKSUSPSA-N'";"'InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-10H,2-6,11-17H2,1H3,(H,19,20)/b8-7+,10-9-'";"'FOBI:08826'";"'rumenic acid'";;;;;;;"'CHEBI:32798'";;;
'phloretic acid';Class;'Phenylpropanoic acids';"''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''olive oil''	''red wine''	''legume food product''";;;;;"'HMDB02199'";"'C01744'";"'10394'";"'NMHMNPHRMNGLLB-UHFFFAOYSA-N'";"'InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)'";"'FOBI:030416'";"'3-(4-hydroxyphenyl)propionic acid'";;;;;;;"'CHEBI:32980'";;;
equol;Class;Isoflavanols;"''legume food product''	''soybean (whole)''";;;;"'82594'";"'HMDB02209'";"'C14131'";"'91469'";"'ADFCQWZHKCXPAJ-GFCCVEGCSA-N'";"'InChI=1S/C15H14O3/c16-13-4-1-10(2-5-13)12-7-11-3-6-14(17)8-15(11)18-9-12/h1-6,8,12,16-17H,7,9H2/t12-/m1/s1'";"'FOBI:030544'";;;;;;;;"'CHEBI:34741'";;;
'(6'R)-beta,epsilon-carotene';Class;Carotenes;"''plant fruit food product''	''vegetable food product''";;;;"'4925358'";;;"'6419725'";"'ANVAOWXLWRTKGA-NTXLUARGSA-N'";"'InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-23,25-28,37H,15-16,24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+/t37-/m0/s1'";"'FOBI:030746'";"'α-carotene'";;;;;;;"'CHEBI:35147'";;;
'L-proline betaine';Class;'Proline and derivatives';"''citrus fruit food product''";;;;;"'HMDB04827'";"'C10172'";"'115244'";"'CMUNUTVVOOHQPW-LURJTMIESA-N'";"'InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1'";"'FOBI:030685'";"'proline betaine'";;;;;;;"'CHEBI:35280'";;;
cis-resveratrol;Class;Stilbenes;"''red wine''	''grape (whole, raw)''";;;;"'1265933'";;;"'1548910'";"'LUKBXSAWLPMMSZ-UPHRSURJSA-N'";"'InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1-'";"'FOBI:030591'";;;;;;;;"'CHEBI:36002'";;;
'vaccenic acid';Class;'Long-chain fatty acids';"''Red meat''	''dairy food product''";;;;"'4444571'";;"'C08367'";"'5281127'";"'UWHZIFQPPBDJPM-BQYQJAHWSA-N'";"'InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)/b8-7+'";"'FOBI:08825'";;;;;;;;"'CHEBI:36023'";;;
'3,5-dihydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''vegetable food product''	''plant fruit food product''	''red wine''	''legume food product''	''nut (whole or part)''";;;;;"'HMDB13173'";;"'7424'";"'UYEMGAFJOZZIFP-UHFFFAOYSA-N'";"'InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)'";"'FOBI:030330'";;;;;;;;"'CHEBI:39912'";;;
