Entity;Type;Superclass(es);BiomarkerOf;HasBiomarker;Contains;IsIngredientOf;FOBI_040232;FOBI_040233;FOBI_040235;FOBI_040236;FOBI_040237;FOBI_040238;FOBI_043480;IAO_0000118;FOBI_050000;FOBI_050001;FOBI_050002;FOBI_050003;dcterms:license;has_obo_format_version;id;rdfs:comment;label;
'urolithin c 3-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;;;;;;;"'DDAQYQCCOWZGDO-KSPMYQCISA-N'";"'InChI=1S/C19H16O11/c20-10-4-8-7-2-1-6(3-12(7)29-18(27)9(8)5-11(10)21)28-19-15(24)13(22)14(23)16(30-19)17(25)26/h1-5,13-16,19-24H,(H,25,26)/t13-,14-,15+,16-,19+/m0/s1'";"'FOBI:030577'";;;;;;;;"'FOBI:030577'";;"'urolithin c 3-glucuronide'";
'urolithin c 3-sulfate';Class;'Coumarins and derivatives';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;;;;;;;"'AIWPERSXONUOOZ-UHFFFAOYSA-N'";"'InChI=1S/C13H8O8S/c14-10-4-8-7-2-1-6(21-22(17,18)19)3-12(7)20-13(16)9(8)5-11(10)15/h1-5,14-15H,(H,17,18,19)'";"'FOBI:030578'";;;;;;;;"'FOBI:030578'";;"'urolithin c 3-sulfate'";
'tyrosol glucuronide';Class;'Phenolic glycosides';"''olive oil''";;;;;;;;"'HEIHXCBRTPYOMU-BYNIDDHOSA-N'";"'InChI=1S/C14H18O8/c15-6-5-7-1-3-8(4-2-7)21-14-11(18)9(16)10(17)12(22-14)13(19)20/h1-4,9-12,14-18H,5-6H2,(H,19,20)/t9-,10-,11+,12-,14+/m0/s1'";"'FOBI:030580'";;;;;;;;"'FOBI:030580'";;"'tyrosol glucuronide'";
'tyrosol sulfate';Class;Phenylsulfates;"''olive oil''";;;;;;;;"'VCRXMIQBQGCAAL-UHFFFAOYSA-N'";"'InChI=1S/C8H10O5S/c9-6-5-7-1-3-8(4-2-7)13-14(10,11)12/h1-4,9H,5-6H2,(H,10,11,12)'";"'FOBI:030581'";;;;;;;;"'FOBI:030581'";;"'tyrosol sulfate'";
'hydroxytyrosol 3'-glucuronide';Class;'Phenolic glycosides';"''olive oil''";;;;;;;;"'CPHMFZSEPDNJAZ-BYNIDDHOSA-N'";"'InChI=1S/C14H18O9/c15-4-3-6-1-2-7(16)8(5-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-2,5,9-12,14-19H,3-4H2,(H,20,21)/t9-,10-,11+,12-,14+/m0/s1'";"'FOBI:030583'";;;;;;;;"'FOBI:030583'";;"'hydroxytyrosol 3'-glucuronide'";
'hydroxytyrosol 4'-glucuronide';Class;'Phenolic glycosides';"''olive oil''";;;;;;;;"'JMDNSUMWVYKARS-BYNIDDHOSA-N'";"'InChI=1S/C14H18O9/c15-4-3-6-1-2-8(7(16)5-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-2,5,9-12,14-19H,3-4H2,(H,20,21)/t9-,10-,11+,12-,14+/m0/s1'";"'FOBI:030584'";;;;;;;;"'FOBI:030584'";;"'hydroxytyrosol 4'-glucuronide'";
'hydroxytyrosol 3'-sulfate';Class;Phenylsulfates;"''olive oil''";;;;;;;"'71749404'";"'BZTHVCCNFBAISK-UHFFFAOYSA-N'";"'InChI=1S/C8H10O6S/c9-4-3-6-1-2-7(10)8(5-6)14-15(11,12)13/h1-2,5,9-10H,3-4H2,(H,11,12,13)'";"'FOBI:030585'";;;;;;;;"'FOBI:030585'";;"'hydroxytyrosol 3'-sulfate'";
'hydroxytyrosol 4'-sulfate';Class;Phenylsulfates;"''olive oil''";;;;;;;"'71749405'";"'VNPXBLBTQUFCHO-UHFFFAOYSA-N'";"'InChI=1S/C8H10O6S/c9-4-3-6-1-2-8(7(10)5-6)14-15(11,12)13/h1-2,5,9-10H,3-4H2,(H,11,12,13)'";"'FOBI:030586'";;;;;;;;"'FOBI:030586'";;"'hydroxytyrosol 4'-sulfate'";
'homovanillyl alcohol';Class;Methoxyphenols;"''olive oil''";;;;;;;"'16928'";"'XHUBSJRBOQIZNI-UHFFFAOYSA-N'";"'InChI=1S/C9H12O3/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,10-11H,4-5H2,1H3'";"'FOBI:030587'";;;;;;;;"'FOBI:030587'";;"'homovanillyl alcohol'";
'homovanillyl alcohol glucuronide';Class;'Phenolic glycosides';"''olive oil''";;;;;;;;"'FPHRLHBSOJUFOE-DKBOKBLXSA-N'";"'InChI=1S/C15H20O9/c1-22-9-6-7(4-5-16)2-3-8(9)23-15-12(19)10(17)11(18)13(24-15)14(20)21/h2-3,6,10-13,15-19H,4-5H2,1H3,(H,20,21)/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030588'";;;;;;;;"'FOBI:030588'";;"'homovanillyl alcohol glucuronide'";
'homovanillyl alcohol sulfate';Class;Phenylsulfates;"''olive oil''";;;;;;;;"'LWTDOJAWTHMBFG-UHFFFAOYSA-N'";"'InChI=1S/C9H12O6S/c1-14-9-6-7(4-5-10)2-3-8(9)15-16(11,12)13/h2-3,6,10H,4-5H2,1H3,(H,11,12,13)'";"'FOBI:030589'";;;;;;;;"'FOBI:030589'";;"'homovanillyl alcohol sulfate'";
