Entity,Type,Superclass(es),http://purl.obolibrary.org/obo/FOBI_00422,http://purl.obolibrary.org/obo/FOBI_00423,http://purl.obolibrary.org/obo/FOBI_00424,http://purl.obolibrary.org/obo/FOBI_00425,http://purl.obolibrary.org/obo/FOBI_040232,http://purl.obolibrary.org/obo/FOBI_040233,http://purl.obolibrary.org/obo/FOBI_040235,http://purl.obolibrary.org/obo/FOBI_040236,http://purl.obolibrary.org/obo/FOBI_040237,http://purl.obolibrary.org/obo/FOBI_040238,http://purl.obolibrary.org/obo/FOBI_043480,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000412,http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.obolibrary.org/obo/FOODON_03310357,Class,http://purl.obolibrary.org/obo/FOODON_03305263,,,,,,,,,,,"'FOBI:0045'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'sunflower oil'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'sunflower seed oil'",
http://purl.obolibrary.org/obo/FOODON_03310387,Class,http://purl.obolibrary.org/obo/FOODON_00002664,,,,,,,,,,,"'FOBI:0040'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'Oils'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'oil'",
http://purl.obolibrary.org/obo/FOODON_03310547,Class,http://purl.obolibrary.org/obo/FOODON_03301977,,,,,,,,,,,"'FOBI:00539'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'Diet carbonated soft drinks'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'soft drink (dietetic)'",
http://purl.obolibrary.org/obo/FOODON_03310635,Class,http://purl.obolibrary.org/obo/FOODON_00002501,,,,,,,,,,,"'FOBI:07556'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'Bakery products'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'bakery product'",
http://purl.obolibrary.org/obo/FOODON_03310641,Class,http://purl.obolibrary.org/obo/FOODON_00001209,,,,,,,,,,,"'FOBI:0156'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'Lentils'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'lentil (whole)'",
http://purl.obolibrary.org/obo/FOODON_03310709,Class,http://purl.obolibrary.org/obo/FOBI_040222,,,"''garlic (whole, raw)''	''legume food product''	''vegetable oil''",,,,,,,,"'FOBI:007944'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'falafel'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'falafel (whole, cooked)'",
http://purl.obolibrary.org/obo/FOODON_03310775,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"''meat food product''	''cheese food product''	'flour'	''vegetable food product''",,,,,,,,"'FOBI:007955'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'pizza'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'pizza food product'",
http://purl.obolibrary.org/obo/FOODON_03310815,Class,http://purl.obolibrary.org/obo/FOODON_03301977,,,,,,,,,,,"'FOBI:00538'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'Carbonated soft drinks'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'soft drink'",
http://purl.obolibrary.org/obo/FOODON_03310820,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"''vegetable food product''	''meat food product''",,,,,,,,"'FOBI:07529'","'http://purl.obolibrary.org/obo/IAO_0000122'",,,"'Gravy is a sauce often made from the juices of meats that run naturally during cooking and thickened with wheat flour or corn starch for added texture.'	'https://en.wikipedia.org/wiki/Gravy'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'gravy'",
http://purl.obolibrary.org/obo/FOODON_03310858,Class,http://purl.obolibrary.org/obo/FOODON_00001169,,,,,,,,,,,"'FOBI:0091'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'rocket'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'rocket (raw)'",
http://purl.obolibrary.org/obo/FOODON_03310943,Class,http://purl.obolibrary.org/obo/FOBI_0101,,,,,,,,,,,"'FOBI:0106'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'zucchini'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'zucchini squash (whole)'",
http://purl.obolibrary.org/obo/FOODON_03311095,Class,http://purl.obolibrary.org/obo/FOODON_00001709,,,,,,,,,,,"'FOBI:0141'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'Refined grain cereal products'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'grain product'",
http://purl.obolibrary.org/obo/FOODON_03311146,Class,http://purl.obolibrary.org/obo/FOODON_00002501,,,,,,,,,,,"'FOBI:07557'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'Sauces'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'sauce'",
