Entity;Type;Superclass(es);ChemSpider;HMDB;KEGG;PubChemCID;InChIKey;InChICode;FOBI;rdfs:label;
'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid sulfate';Class;Resorcinols;;;;;"'KZIXDBSFYKKBMP-UHFFFAOYSA-N'";"'InChI=1S/C11H14O8S/c12-8(1-2-11(14)15)3-7-4-9(13)6-10(5-7)19-20(16,17)18/h4-6,8,12-13H,1-3H2,(H,14,15)(H,16,17,18)'";"'FOBI:08805'";"'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid sulfate'";
'3,4-dihydroxyphenylvaleric acid';Class;Catechols;;;;"'49831816'";"'KTDWBJGUMIZRHU-UHFFFAOYSA-N'";"'InChI=1S/C11H14O4/c12-9-6-5-8(7-10(9)13)3-1-2-4-11(14)15/h5-7,12-13H,1-4H2,(H,14,15)'";"'FOBI:08806'";"'3,4-dihydroxyphenylvaleric acid'";
'3,4-dihydroxyphenylvaleric acid 3 glucuronide';Class;Saccharolipids;;;;;"'PFXCVFMGZFVRNQ-IASGZQPQSA-N'";"'InChI=1S/C17H22O10/c18-9-6-5-8(3-1-2-4-11(19)20)7-10(9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m0/s1'";"'FOBI:08807'";"'3,4-dihydroxyphenylvaleric acid 3 glucuronide'";
'3,4-dihydroxyphenylvaleric acid 3 sulfate';Class;Catechols;;;;;"'OUPGXCOAIUBOQD-UHFFFAOYSA-N'";"'InChI=1S/C11H14O7S/c12-9-6-5-8(3-1-2-4-11(13)14)7-10(9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)'";"'FOBI:08808'";"'3,4-dihydroxyphenylvaleric acid 3 sulfate'";
'3,4-dihydroxyphenylvaleric acid 4 glucuronide';Class;Saccharolipids;;;;;"'UGIYSEJJABCPSW-NQKOESPWSA-N'";"'InChI=1S/C17H22O10/c18-9-7-8(3-1-2-4-11(19)20)5-6-10(9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m1/s1'";"'FOBI:08809'";"'3,4-dihydroxyphenylvaleric acid 4 glucuronide'";
'3,4-dihydroxyphenylvaleric acid 4 sulfate';Class;Catechols;;;;;"'CABZBRSEXWBGOQ-UHFFFAOYSA-N'";"'InChI=1S/C11H14O7S/c12-9-7-8(3-1-2-4-11(13)14)5-6-10(9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)'";"'FOBI:08810'";"'3,4-dihydroxyphenylvaleric acid 4 sulfate'";
'3,5-dihydroxyphenylvaleric acid';Class;Resorcinols;;;;;"'QHXNJIMVPAFCPR-UHFFFAOYSA-N'";"'InChI=1S/C11H14O4/c12-9-5-8(6-10(13)7-9)3-1-2-4-11(14)15/h5-7,12-13H,1-4H2,(H,14,15)'";"'FOBI:08811'";"'3,5-dihydroxyphenylvaleric acid'";
'3,5-dihydroxyphenylvaleric acid glucuronide';Class;Saccharolipids;;;;;"'RLPWWOIWKYLCFU-IASGZQPQSA-N'";"'InChI=1S/C17H22O10/c18-9-5-8(3-1-2-4-11(19)20)6-10(7-9)26-17-14(23)12(21)13(22)15(27-17)16(24)25/h5-7,12-15,17-18,21-23H,1-4H2,(H,19,20)(H,24,25)/t12-,13?,14?,15-,17+/m0/s1'";"'FOBI:08812'";"'3,5-dihydroxyphenylvaleric acid glucuronide'";
'3,5-dihydroxyphenylvaleric acid sulfate';Class;Resorcinols;;;;;"'GXGQOCNOANVHKV-UHFFFAOYSA-N'";"'InChI=1S/C11H14O7S/c12-9-5-8(3-1-2-4-11(13)14)6-10(7-9)18-19(15,16)17/h5-7,12H,1-4H2,(H,13,14)(H,15,16,17)'";"'FOBI:08813'";"'3,5-dihydroxyphenylvaleric acid sulfate'";
'3,5-dihydroxycinnamic acid';Class;'Hydroxycinnamic acids';"'4947733'";;;"'6443769'";"'MFFCZSWTQMCKFP-OWOJBTEDSA-N'";"'InChI=1S/C9H8O4/c10-7-3-6(1-2-9(12)13)4-8(11)5-7/h1-5,10-11H,(H,12,13)/b2-1+'";"'FOBI:08814'";"'3,5-dihydroxycinnamic acid'";
'3,5-dihydroxycinnamic acid glucuronide';Class;'Phenolic glycosides';;;;;"'YIAFSKCUHLQEAH-MEPLRXLMSA-N'";"'InChI=1S/C15H16O10/c16-7-3-6(1-2-9(17)18)4-8(5-7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b2-1+/t10-,11?,12?,13-,15+/m1/s1'";"'FOBI:08815'";"'3,5-dihydroxycinnamic acid glucuronide'";
'3,5-dihydroxycinnamic acid sulfate';Class;Phenylsulfates;;;;;"'KTPBHOMURDURSV-OWOJBTEDSA-N'";"'InChI=1S/C9H8O7S/c10-7-3-6(1-2-9(11)12)4-8(5-7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b2-1+'";"'FOBI:08816'";"'3,5-dihydroxycinnamic acid sulfate'";
'n-(3,5-dihydroxybenzoyl)glycine';Class;'Hippuric acids';;;;"'71389989'";"'RJGLFRQXIDISBX-UHFFFAOYSA-N'";"'InChI=1S/C9H9NO5/c11-6-1-5(2-7(12)3-6)9(15)10-4-8(13)14/h1-3,11-12H,4H2,(H,10,15)(H,13,14)'";"'FOBI:08817'";"'n-(3,5-dihydroxybenzoyl)glycine'";
