"","SuperClass","Class"
"72","Benzenoids","Phenols"
"73","Benzenoids","Benzene and substituted derivatives"
"74","Benzenoids","Phenols"
"75","Organoheterocyclic compounds","Benzoxazines"
"76","Phenylpropanoids and polyketides","Isoflavonoids"
"77","Organoheterocyclic compounds","Imidazopyrimidines"
"78","Organic oxygen compounds","Organooxygen compounds"
"79","Phenylpropanoids and polyketides","Flavonoids"
"80","Organic acids and derivatives","Carboxylic acids and derivatives"
"81","Organic acids and derivatives","Sulfamic acid derivatives"
"82","Organic oxygen compounds","Organooxygen compounds"
"83","Phenylpropanoids and polyketides","Isoflavonoids"
"84","Organoheterocyclic compounds","Imidazopyrimidines"
"85","Lipids and lipid-like molecules","Fatty Acyls"
"86","Organic oxygen compounds","Organooxygen compounds"
"87","Lignans, neolignans and related compounds","Furanoid lignans"
"88","Organic oxygen compounds","Organooxygen compounds"
"89","Organic oxygen compounds","Organooxygen compounds"
"90","Organic oxygen compounds","Organooxygen compounds"
"91","Organic acids and derivatives","Carboxylic acids and derivatives"
"92","Organic acids and derivatives","Carboxylic acids and derivatives"
"93","Organic oxygen compounds","Organooxygen compounds"
"94","Benzenoids","Benzene and substituted derivatives"
"95","Phenylpropanoids and polyketides","Tannins"
"96","Organic oxygen compounds","Organooxygen compounds"
"97","Phenylpropanoids and polyketides","Flavonoids"
"98","Benzenoids","Phenols"
"99","Organic oxygen compounds","Organooxygen compounds"
"100","Phenylpropanoids and polyketides","Flavonoids"
"101","Phenylpropanoids and polyketides","Flavonoids"
"102","Lipids and lipid-like molecules","Fatty Acyls"
"103","Phenylpropanoids and polyketides","Flavonoids"
"104","Lipids and lipid-like molecules","Fatty Acyls"
"105","Organic acids and derivatives","Hydroxy acids and derivatives"
"106","Organic acids and derivatives","Carboxylic acids and derivatives"
"107","Phenylpropanoids and polyketides","Flavonoids"
"108","Organic acids and derivatives","Carboxylic acids and derivatives"
"109","Phenylpropanoids and polyketides","Isoflavonoids"
"110","Lipids and lipid-like molecules","Prenol lipids"
"111","Organic oxygen compounds","Organooxygen compounds"
"112","Benzenoids","Benzene and substituted derivatives"
"113","Organic oxygen compounds","Organooxygen compounds"
"114","Organic oxygen compounds","Organooxygen compounds"
"115","Organic oxygen compounds","Organooxygen compounds"
"116","Phenylpropanoids and polyketides","Flavonoids"
"117","Benzenoids","Phenols"
"118","Lipids and lipid-like molecules","Steroids and steroid derivatives"
"119","Phenylpropanoids and polyketides","Isoflavonoids"
"120","Lipids and lipid-like molecules","Prenol lipids"
"121","Phenylpropanoids and polyketides","Flavonoids"
"122","Lipids and lipid-like molecules","Fatty Acyls"
"123","Phenylpropanoids and polyketides","Flavonoids"
"124","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"125","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"126","Organic acids and derivatives","Carboxylic acids and derivatives"
"127","Organic oxygen compounds","Organooxygen compounds"
"128","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"129","Organic acids and derivatives","Carboxylic acids and derivatives"
"130","Benzenoids","Phenols"
"131","Organic oxygen compounds","Organooxygen compounds"
"132","Benzenoids","Phenols"
"133","Benzenoids","Benzene and substituted derivatives"
"134","Organic oxygen compounds","Organooxygen compounds"
"135","Phenylpropanoids and polyketides","Isoflavonoids"
"136","Organic oxygen compounds","Organooxygen compounds"
"137","Phenylpropanoids and polyketides","Flavonoids"
"138","Phenylpropanoids and polyketides","Flavonoids"
"139","Benzenoids","Benzene and substituted derivatives"
"140","Phenylpropanoids and polyketides","Flavonoids"
"141","Organic oxygen compounds","Organooxygen compounds"
"142","Benzenoids","Phenols"
"143","Organic acids and derivatives","Carboxylic acids and derivatives"
"144","Organic acids and derivatives","Carboxylic acids and derivatives"
"145","Benzenoids","Benzene and substituted derivatives"
"146","Benzenoids","Benzene and substituted derivatives"
"147","Benzenoids","Benzene and substituted derivatives"
"148","Benzenoids","Phenols"
"149","Phenylpropanoids and polyketides","Flavonoids"
"150","Phenylpropanoids and polyketides","Flavonoids"
"151","Organic oxygen compounds","Organooxygen compounds"
"152","Lipids and lipid-like molecules","Fatty Acyls"
"153","Lipids and lipid-like molecules","Prenol lipids"
"154","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"155","Organic oxygen compounds","Organooxygen compounds"
"156","Lipids and lipid-like molecules","Prenol lipids"
"157","Organoheterocyclic compounds","Benzoxazoles"
"158","Phenylpropanoids and polyketides","Flavonoids"
"159","Phenylpropanoids and polyketides","Isoflavonoids"
"160","Organic acids and derivatives","Carboxylic acids and derivatives"
"161","Organoheterocyclic compounds","Imidazopyrimidines"
"162","Benzenoids","Phenols"
"163","Phenylpropanoids and polyketides","Flavonoids"
"164","Organic acids and derivatives","Peptidomimetics"
"165","Phenylpropanoids and polyketides","Flavonoids"
"166","Phenylpropanoids and polyketides","Flavonoids"
"167","Organoheterocyclic compounds","Benzoxazines"
"168","Phenylpropanoids and polyketides","Flavonoids"
"169","Phenylpropanoids and polyketides","Diarylheptanoids"
"170","Organic oxygen compounds","Organooxygen compounds"
"171","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"172","Phenylpropanoids and polyketides","Isoflavonoids"
"173","Organic oxygen compounds","Organooxygen compounds"
"174","Organoheterocyclic compounds","Imidazopyrimidines"
"175","Phenylpropanoids and polyketides","Isoflavonoids"
"176","Lipids and lipid-like molecules","Prenol lipids"
"177","Organoheterocyclic compounds","Imidazopyrimidines"
"178","Lipids and lipid-like molecules","Prenol lipids"
"179","Benzenoids","Phenols"
"180","Benzenoids","Benzene and substituted derivatives"
"181","Phenylpropanoids and polyketides","Flavonoids"
"182","Phenylpropanoids and polyketides","Flavonoids"
"183","Phenylpropanoids and polyketides","Flavonoids"
"184","Organic oxygen compounds","Organooxygen compounds"
"185","Organic oxygen compounds","Organooxygen compounds"
"186","Organoheterocyclic compounds","Imidazopyrimidines"
"187","Organic oxygen compounds","Organooxygen compounds"
"188","Organic acids and derivatives","Carboxylic acids and derivatives"
"189","Benzenoids","Phenols"
"190","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"191","Phenylpropanoids and polyketides","Flavonoids"
"192","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"193","Organic oxygen compounds","Organooxygen compounds"
"194","Phenylpropanoids and polyketides","Flavonoids"
"195","Phenylpropanoids and polyketides","Flavonoids"
"196","Phenylpropanoids and polyketides","Flavonoids"
"197","Organoheterocyclic compounds","Imidazopyrimidines"
"198","Organic nitrogen compounds","Organonitrogen compounds"
"199","Phenylpropanoids and polyketides","Flavonoids"
"200","Organic oxygen compounds","Organooxygen compounds"
"201","Organic acids and derivatives","Carboxylic acids and derivatives"
"202","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"203","Organoheterocyclic compounds","Pyridines and derivatives"
"204","Phenylpropanoids and polyketides","Flavonoids"
"205","Benzenoids","Phenols"
"206","Organic acids and derivatives","Carboxylic acids and derivatives"
"207","Phenylpropanoids and polyketides","Flavonoids"
"208","Organic oxygen compounds","Organooxygen compounds"
"209","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"210","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"211","Organic oxygen compounds","Organooxygen compounds"
"212","Organoheterocyclic compounds","Imidazopyrimidines"
"213","Benzenoids","Phenols"
"214","Phenylpropanoids and polyketides","Flavonoids"
"215","Benzenoids","Phenols"
"216","Benzenoids","Benzene and substituted derivatives"
"217","Organoheterocyclic compounds","Indoles and derivatives"
"218","Organic acids and derivatives","Hydroxy acids and derivatives"
"219","Organic oxygen compounds","Organooxygen compounds"
"220","Benzenoids","Phenols"
"221","Benzenoids","Benzene and substituted derivatives"
"222","Organoheterocyclic compounds","Imidazopyrimidines"
"223","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"224","Organic oxygen compounds","Organooxygen compounds"
"225","Organic oxygen compounds","Organooxygen compounds"
"226","Lipids and lipid-like molecules","Fatty Acyls"
"227","Organoheterocyclic compounds","Diazines"
"228","Phenylpropanoids and polyketides","Flavonoids"
"229","Organic oxygen compounds","Organooxygen compounds"
"230","Lipids and lipid-like molecules","Prenol lipids"
"231","Organic oxygen compounds","Organooxygen compounds"
"232","Phenylpropanoids and polyketides","Flavonoids"
"233","Benzenoids","Benzene and substituted derivatives"
"234","Lipids and lipid-like molecules","Prenol lipids"
"235","Organic acids and derivatives","Carboxylic acids and derivatives"
"236","Phenylpropanoids and polyketides","Flavonoids"
"237","Organic oxygen compounds","Organooxygen compounds"
"238","Benzenoids","Benzene and substituted derivatives"
"239","Organic oxygen compounds","Organooxygen compounds"
"240","Organic acids and derivatives","Carboxylic acids and derivatives"
"241","Organoheterocyclic compounds","Imidazopyrimidines"
"242","Organoheterocyclic compounds","Indoles and derivatives"
"243","Organic oxygen compounds","Organooxygen compounds"
"244","Organic oxygen compounds","Organooxygen compounds"
"245","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"246","Organic oxygen compounds","Organooxygen compounds"
"247","Organic oxygen compounds","Organooxygen compounds"
"248","Organic oxygen compounds","Organooxygen compounds"
"249","Organometallic compounds","Organometalloid compounds"
"250","Phenylpropanoids and polyketides","Isoflavonoids"
"251","Organic oxygen compounds","Organooxygen compounds"
"252","Organic acids and derivatives","Carboxylic acids and derivatives"
"253","Organic oxygen compounds","Organooxygen compounds"
"254","Organic acids and derivatives","Carboxylic acids and derivatives"
"255","Organic oxygen compounds","Organooxygen compounds"
"256","Benzenoids","Benzene and substituted derivatives"
"257","Lipids and lipid-like molecules","Steroids and steroid derivatives"
"258","Organoheterocyclic compounds","Dihydrofurans"
"259","Phenylpropanoids and polyketides","Isoflavonoids"
"260","Benzenoids","Benzene and substituted derivatives"
"261","Organic acids and derivatives","Carboxylic acids and derivatives"
"262","Organic oxygen compounds","Organooxygen compounds"
"263","Organic oxygen compounds","Organooxygen compounds"
"264","Benzenoids","Benzene and substituted derivatives"
"265","Organic oxygen compounds","Organooxygen compounds"
"266","Organic acids and derivatives","Carboxylic acids and derivatives"
"267","Lipids and lipid-like molecules","Fatty Acyls"
"268","Benzenoids","Benzene and substituted derivatives"
"269","Organic nitrogen compounds","Organonitrogen compounds"
"270","Phenylpropanoids and polyketides","Flavonoids"
"271","Phenylpropanoids and polyketides","Flavonoids"
"272","Benzenoids","Benzene and substituted derivatives"
"273","Phenylpropanoids and polyketides","Linear 1,3-diarylpropanoids"
"274","Organic oxygen compounds","Organooxygen compounds"
"275","Organoheterocyclic compounds","Benzoxazines"
"276","Phenylpropanoids and polyketides","Flavonoids"
"277","Organic oxygen compounds","Organooxygen compounds"
"278","Benzenoids","Benzene and substituted derivatives"
"279","Phenylpropanoids and polyketides","Flavonoids"
"280","Phenylpropanoids and polyketides","Flavonoids"
"281","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"282","Benzenoids","Phenols"
"283","Organic oxygen compounds","Organooxygen compounds"
"284","Organic oxygen compounds","Organooxygen compounds"
"285","Phenylpropanoids and polyketides","Tannins"
"286","Organic oxygen compounds","Organooxygen compounds"
"287","Benzenoids","Benzene and substituted derivatives"
"288","Phenylpropanoids and polyketides","Flavonoids"
"289","Lipids and lipid-like molecules","Fatty Acyls"
"290","Phenylpropanoids and polyketides","Tannins"
"291","Organosulfur compounds","Sulfonyls"
"292","Lipids and lipid-like molecules","Fatty Acyls"
"293","Benzenoids","Phenols"
"294","Organic oxygen compounds","Organooxygen compounds"
"295","Organic oxygen compounds","Organooxygen compounds"
"296","Phenylpropanoids and polyketides","Isoflavonoids"
"297","Alkaloids and derivatives",NA
"298","Benzenoids","Benzene and substituted derivatives"
"299","Phenylpropanoids and polyketides","Isoflavonoids"
"300","Phenylpropanoids and polyketides","Flavonoids"
"301","Phenylpropanoids and polyketides","Tannins"
"302","Phenylpropanoids and polyketides","Flavonoids"
"303","Benzenoids","Phenols"
"304","Organic acids and derivatives","Carboxylic acids and derivatives"
"305","Phenylpropanoids and polyketides","Flavonoids"
"306","Organic acids and derivatives","Organic sulfonic acids and derivatives"
"307","Organic oxygen compounds","Organooxygen compounds"
"308","Benzenoids","Phenols"
"309","Organic acids and derivatives","Carboxylic acids and derivatives"
"310","Organic acids and derivatives","Carboxylic acids and derivatives"
"311","Organic nitrogen compounds","Organonitrogen compounds"
"312","Lipids and lipid-like molecules","Steroids and steroid derivatives"
"313","Organoheterocyclic compounds","Imidazopyrimidines"
"314","Benzenoids","Phenols"
"315","Benzenoids","Phenols"
"316","Phenylpropanoids and polyketides","Flavonoids"
"317","Organic oxygen compounds","Organooxygen compounds"
"318","Benzenoids","Benzene and substituted derivatives"
"319","Organoheterocyclic compounds","Imidazopyrimidines"
"320","Phenylpropanoids and polyketides","Flavonoids"
"321","Phenylpropanoids and polyketides","Flavonoids"
"322","Phenylpropanoids and polyketides","Flavonoids"
"323","Organic oxygen compounds","Organooxygen compounds"
"324","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"325","Benzenoids","Benzene and substituted derivatives"
"326","Phenylpropanoids and polyketides","Flavonoids"
"327","Benzenoids","Phenols"
"328","Organic oxygen compounds","Organooxygen compounds"
"329","Organic acids and derivatives","Carboxylic acids and derivatives"
"330","Phenylpropanoids and polyketides","Flavonoids"
"331","Organoheterocyclic compounds","Imidazopyrimidines"
"332","Lipids and lipid-like molecules","Steroids and steroid derivatives"
"333","Phenylpropanoids and polyketides","Flavonoids"
"334","Benzenoids","Benzene and substituted derivatives"
"335","Benzenoids","Phenols"
"336","Lipids and lipid-like molecules","Fatty Acyls"
"337","Lipids and lipid-like molecules","Fatty Acyls"
"338","Phenylpropanoids and polyketides","Isoflavonoids"
"339","Phenylpropanoids and polyketides","Flavonoids"
"340","Phenylpropanoids and polyketides","Flavonoids"
"341","Organic oxygen compounds","Organooxygen compounds"
"342","Organic oxygen compounds","Organooxygen compounds"
"343","Organic oxygen compounds","Organooxygen compounds"
"344","Phenylpropanoids and polyketides","Flavonoids"
